 I Want Candy | Aaron Carter
Sometimes | Britney Spears
With Ur Love | Cher Lloyd
Paradise | Coldplay
Without You [Ft. Usher] | David Guetta
Entombed | Deftones
Dance All Night [Ft. Matisyahu] | The Dirty Heads
Every Single Night | Fiona Apple
Whistle | Flo Rida
Fire Fire | Flyleaf
So Yesterday | Hilary Duff
Night Train | Jason Aldean
The Other Side | Jason Derulo
Cry Me A River | Justin Timberlake
I Kissed a Girl | Katy Perry
Wide Awake | Katy Perry
Sex On Fire | Kings Of Leon
My Weakness | Kris Allen
No Worries | Lil Wayne
Party Rock Anthem | LMFAO
Mambo No. 5 (A Little Bit Of...) | Lou Bega
Stubborn Love | The Lumineers
Beggin' | Madcon
Adorn | Miguel
I Will Wait | Mumford&#160;&amp; Sons
Super Bass | Nicki Minaj
It's My Life | No Doubt
Give Me Everything | Pitbull
 Disturbia | Rihanna
Brave | Sara Bareilles
The Man Who Can't Be Moved | The Script
Make Believe | Silversun Pickups
Don't You Worry Child (Radio Edit) [Ft. John Martin] | Swedish House Mafia
That's Not My Name | The Ting Tings
Faded | Tyga
