Wasteland | 10 Years
When I'm Gone | 3 Doors Down
From Yesterday | 30 Seconds To Mars
Kings And Queens | 30 Seconds To Mars
Weak and Powerless | A Perfect Circle
Giving In | Adema
Jaded | Aerosmith
Check My Brain | Alice In Chains
Smooth Criminal | Alien Ant Farm
Mercy Me | Alkaline Trio
Radio | Alkaline Trio
Gives You Hell | The All-American Rejects
Feel Good Drag | Anberlin
In This Diary | The Ataris
Falling Down | Atreyu
Cochise | Audioslave
 Like A Stone | Audioslave
Show Me How To Live | Audioslave
Complicated | Avril Lavigne
Girlfriend | Avril Lavigne
E-Pro | Beck
Rockin' The Suburbs | Ben Folds
Adam's Song | Blink-182
All The Small Things | Blink-182
The Rock Show | Blink-182
Banquet | Bloc Party
Hate Me | Blue October
It's My Life | Bon Jovi
1985 | Bowling for Soup
Girl All The Bad Guys Want | Bowling for Soup
Jesus Christ | Brand New
The Quiet Things That No One Ever Knows | Brand New
Seventy Times 7 | Brand New
Breath | Breaking Benjamin
I Will Not Bow | Breaking Benjamin
Sorry | Buckcherry
Back Against The Wall | Cage The Elephant
Wherever You Will Go | The Calling
Champagne | Cavo
Hero | Chad Kroeger
I Get It | Chevelle
The Red | Chevelle
Send The Pain Below | Chevelle
Clocks | Coldplay
Speed Of Sound | Coldplay
Viva La Vida | Coldplay
With Arms Wide Open | Creed
Cold | Crossfade
I Believe In A Thing Called Love | The Darkness
Vindicated | Dashboard Confessional
Home | Daughtry
The Space Between | Dave Matthews Band
Count On Me | Default
Wasting My Time | Default
Change (In The House Of Flies) | Deftones
Down With The Sickness | Disturbed
Inside The Fire | Disturbed
Bring Me To Life | Evanescence
My Immortal | Evanescence
Sugar, We're Goin' Down | Fall Out Boy
This Ain't A Scene, It's An Arms Race | Fall Out Boy
Thnks Fr Th Mmrs | Fall Out Boy
One Thing | Finger Eleven
Paralyzer | Finger Eleven
100 Years | Five For Fighting
Superman (It's Not Easy) | Five For Fighting
Stacy's Mom | Fountains Of Wayne
Take Me Out | Franz Ferdinand
How To Save A Life | The Fray
Falls On Me | Fuel
Hemorrhage | Fuel
Crazy | Gnarls Barkley
I Stand Alone | Godsmack
Just A Little Bit | The Goo Goo Dolls
Lifestyles Of The Rich &amp; Famous | Good Charlotte
Little Things | Good Charlotte
Feel Good Inc. | Gorillaz
21 Guns | Green Day
American Idiot | Green Day
Minority | Green Day
Wake Me Up When September Ends | Green Day
Satellite | Guster
Cash Machine | Hard-Fi
Lips Of An Angel | Hinder
Hate To Say I Told You So | The Hives
The Reason | Hoobastank
Bandages | Hot Hot Heat
Megalomaniac | Incubus
Warning | Incubus
Wish You Were Here | Incubus
Just Because | Jane's Addiction
Are You Gonna Be My Girl | Jet
Cold Hard Bitch | Jet
The Middle | Jimmy Eat World
No Such Thing | John Mayer
For Reasons Unknown | The Killers
Mr. Brightside | The Killers
Read My Mind | The Killers
Smile Like You Mean It | The Killers
Somebody Told Me | The Killers
