What's Up? | 4Non Blondes
Amazing |  </s
Cryin' |  </s
Livin' On The Edge |  </s
 This is Your Night | Avant
I Want It That Way |  </s
No Rain |  </s
Thank You | Boyz II Men
On Blended Knee | Boyz II Men
Mmm Mmm Mmm Mmm |  </s
Friday I'm In Love |  </s
Insane In The Brain |  </s
Stupid Girl | Garbage
 Three Little Pigs | Green Jelly
All My Life |  </s
Macarena |  </s
Sex and Candy | Marcy Playground
Always Be My Baby | Mariah Carey
Emotions | Mariah Carey
Fantasy | Mariah Carey
Fade Into You | Mazzy Star 
Black Or White |  </s
Don't Look Back In Anger |  </s
Come Out and Play | The Offspring
I'm Gonna Be (500 Miles) |  </s
Crazy | Seal
Boombastic |  </s
1979 |  </s
Tonight, Tonight |  </s
Somethin' For The People<span class="Apple-tab-span" style="white-space:pre"> </span> |  </s
My Love Is The Shhh! |  </s
Black Hole Sun |  </s
Creep |  </s
Waterfalls |  </s
New York | U2
Buddy Holly | Weezer
I Will Always Love You |  </s
