All Out Of Love | Air Supply
Lost In Love | Air Supply
Making Love Out Of Nothing At All | Air Supply
Ginger Man | Brian Cadd
Run To Paradise | Choirboys
Almost With You | The Church
Under The Milky Way | The Church
Rising Sun | Cold Chisel
Don't Dream It's Over | Crowded House
Weather With You | Crowded House
Come To Me | Diesel
Cry In Shame | Diesel
April Sun In Cuba | Dragon
Friday On My Mind | The Easybeats
Groove | Eurogliders
Tucker's Daughter | Ian Moss
Electric Blue | Icehouse
Great Southern Land | Icehouse
Need You Tonight | INXS
Are You Gonna Be My Girl | Jet
Pressure Down | John Farnham
You're The Voice | John Farnham
Help Is On Its Way [Live] | Little River Band
Prisoner Of Society | The Living End
Second Solution | The Living End
Beds Are Burning [Cover of Midnight Oil] | Marina Celeste
Turn Up Your Radio | Masters Apprentices
Be Good Johnny | Men At Work
Dr. Heckyll &amp; Mr. Jive | Men At Work
Power And The Passion | Midnight Oil
Out Of Mind, Out Of Sight | Models
On The Prowl | Ol' 55
Girls On The Avenue | Richard Clapton
Jessie's Girl | Rick Springfield
The Real Thing | Russell Morris
Swing For The Crime | The Saints
 (I'm) Stranded | The Saints
Better | The Screaming Jets
Howzat | Sherbet
Ana's Song (Open Fire) | Silverchair
Tomorrow | Silverchair
Horror Movie | Skyhooks
Women In Uniform | Skyhooks
Black Betty | Spiderbait
History Never Repeats | Split Enz
I Got You | Split Enz
Message to My Girl | Split Enz
Jump In My Car | Ted Mulry Gang
Woman | Wolfmother
