The Thrill Is Gone | B.B. King
Crying To The Sky | Be Bop Deluxe
You Won't Change | Black Sabbath
25 Or 6 to 4 | Chicago
Johnny B. Goode | Chuck Berry
 Crossroads | Cream
Highway Star | Deep Purple
 Layla | Derek &amp; The Dominos
Sultans Of Swing | Dire Straits
Light My Fire | The Doors
 All About You | Eric Johnson
 Cliffs of Dover | Eric Johnson
November Rain | Guns N' Roses
Paradise City | Guns N' Roses
Sweet Child O' Mine | Guns N' Roses
Aces High | Iron Maiden
The Trooper | Iron Maiden
Summer Breeze | The Isley Brothers
 Cause We've Ended As Lovers | Beck
 Nadia | Beck
Aqualung | Jethro Tull
Machine Gun | Jimi Hendrix
Purple Haze | Jimi Hendrix
All Along The Watchtower | The Jimi Hendrix Experience
Machine Gun | The Jimi Hendrix Experience
Purple Haze | The Jimi Hendrix Experience
Voodoo Child (Slight Return) | The Jimi Hendrix Experience
Surfing With The Alien | Joe Satriani
Painkiller | Judas Priest
Shock Me | Kiss
Free Bird | Lynyrd Skynyrd
Smells Like Teen Spirit | Nirvana
Crazy Train | Ozzy Osbourne
Mr. Crowley | Ozzy Osbourne
Cemetery Gates | Pantera
Floods | Pantera
Alive | Pearl Jam
 Comfortably Numb (Live) | Pink Floyd
Paranoid Android | Radiohead
Bulls On Parade | Rage Against The Machine
Sympathy For The Devil | The Rolling Stones
Europa | Santana
Reelin' In The Years | Steely Dan
 Pride and Joy | Stevie Ray Vaughan &amp; Double Trouble
 Testify | Stevie Ray Vaughan &amp; Double Trouble
 Texas Flood | Stevie Ray Vaughan &amp; Double Trouble
 For The Love Of God | Steve Vai
I Am Resurrection | The Stone Roses
Strangehold | Ted Nugent
Sharp Dressed Man | ZZ Top
