Walk This Way | Aerosmith
Iron Man | Black Sabbath
Bo Diddley | Bo Diddley
Peggy Sue | Buddy Holly
Bluebird | Buffalo Springfield
Chesnut Mare | The Byrds
Eight Miles End | The Byrds
Time Between | The Byrds
Blue Suede Shoes | Carl Perkins
Soul Sacrifice | Carlos Santana
Johnny B. Goode | Chuck Berry
Crossroad | Cream
Highway Star | Deep Purple
Sultans Of Swing | Dire Straits
Roadhouse Blues | The Doors
Heartbreak Hotel | Elvis Presley
Go Your Own Way | Fleetwood Mac
Maggot Brain | Funkadelic
Casey Jones | Grateful Dead
Sweet Child O' Mine | Guns N' Roses
Smokestack Lightnin' | Howlin' Wolf
Spoonful | Howlin' Wolf
Foxy Lady | Jimi Hendrix
Purple Haze | Jimi Hendrix
Rocky Mountain Way | Joe Walsh
Vaya Con Dios | Les Paul
Scentless Apprentice | Nirvana
Smells Like Teen Spirit | Nirvana
Crazy Train | Ozzy Osbourne
Floods | Pantera
Dazzling Blue | Paul Simon
Kathy's Song | Paul Simon
Every Breath You Take | The Police
Brighton Rock | Queen
Creep | Radiohead
Paranoid Android | Radiohead
1952 Vincent Black Lightning | Richard Thompson
Traveling Riverside Blues | Robert Johnson
Gimme Shelter | The Rolling Stones
(I Can't Get No) Satisfaction | The Rolling Stones
God Save the Queen | Sex Pistols
Pretty Vacant | Sex Pistols
Cold Shot | Stevie Ray Vaughan
I Wanna Be Your Dog | The Stooges
Night Life | Willie Nelson
La Grange | ZZ Top
