Beat The Bastards | Accept
Fast As A Shark | Accept
School's Out | Alice Cooper
Fairies Wear Boots | Black Sabbath
Heaven And Hell | Black Sabbath
Into The Void | Black Sabbath
Sabbath Bloody Sabbath | Black Sabbath
War Pigs | Black Sabbath
Crystal Mountain | Death
Burn | Deep Purple
Highway Star | Deep Purple
Smoke On The Water | Deep Purple
The Prince | Diamond Head
Vredesbyrd | Dimmu Borgir
The Eyes | Dio
Holy Diver | Dio
Killing The Dragon | Dio
Push | Dio
Metropolis | Dream Theater
Seven Doors Hotel | Europe
Self Medication Blues | Eyehategod
Guardian | Fates Warning
Paradise City | Guns N' Roses
Welcome To The Jungle | Guns N' Roses
Keeper Of The Seven Keys | Helloween
Watching Over Me | Iced Earth
The Number Of The Beast | Iron Maiden
Rime Of The Ancient Mariner | Iron Maiden
Run to the Hills | Iron Maiden
The Trooper | Iron Maiden
Beyond The Realms Of Death | Judas Priest
Breaking The Law | Judas Priest
The Hellion | Judas Priest
Living After Midnight | Judas Priest
Painkiller | Judas Priest
You've Got Another Thing Comin' | Judas Priest
Detroit Rock City | KISS
Enemy Of God | Kreator
Impossible Brutality | Kreator
Midnight Maniac | Kreator
Drive It In | Krokus
Aesthetics of Hate | Machine Head
Beautiful Morning | Machine Head
Now I Lay Thee Down | Machine Head
Battle Hymn | Manowar
Blood Of The Kings | Manowar
The Warriors Prayer | Manowar
Curse Of The Pharaohs | Mercyful Fate
Gypsy | Mercyful Fate
Peace Sells | Megadeth
Symphony Of Destruction | Megadeth
Tornado Of Souls | Megadeth
Chapel Of Ghouls | Morbid Angel
Shout At The Devil | MA¶tley CrA¼e
Ace Of Spades | MotA¶rhead
Mississippi Queen | Mountain
Cradle | Mudvayne
Death Blooms | Mudvayne
Happy? | Mudvayne
Diary Of A Madman | Ozzy Osbourne
Mr. Crowley | Ozzy Osbourne
Cemetery Gates | Pantera
I'm Broken | Pantera
Revolution Calling | QueensrA¿che
Cum On Feel The Noize | Quiet Riot
Metal Health | Quiet Riot
Princess Of The Night | Saxon
Wheels Of Steel | Saxon
Youth Gone Wild | Skid Row
The Divine Wings Of Tragedy | Symphony X
Wicked | Symphony X
Souls Of Black | Testament
Over The Wall | Testament
I Wanna Rock | Twisted Sister
The Kids Are Back | Twisted Sister
Easy Livin' | Uriah Heep
Panama | Van Halen
At War With Satan | Venom
Witching Hour | Venom
Cherry Pie | Warrant
