Feed My Frankenstein | Alice Cooper
No More Mr. Nice Guy | Alice Cooper
Poison | Alice Cooper
School's Out | Alice Cooper
You Ain't Seen Nothin' Yet | Bachman-Turner Overdrive
Iron Man | Black Sabbath
Badge | Cream
Crossroads | Cream
I Feel Free | Cream
Strange Brew | Cream
Sunshine Of Your Love | Cream
White Room | Cream
Bad Moon Rising | Creedence Clearwater Revival
Down On The Corner | Creedence Clearwater Revival
Fortunate Son | Creedence Clearwater Revival
Lookin' Out My Back Door | Creedence Clearwater Revival
Proud Mary | Creedence Clearwater Revival
Up Around The Bend | Creedence Clearwater Revival
Under Pressure [w/ Queen] | David Bowie
Love Bites | Def Leppard
Pour Some Sugar On Me | Def Leppard
We're An American Band | Grand Funk Railroad
Civil War | Guns N' Roses
Don't Cry | Guns N' Roses
Knockin' On Heaven's Door | Guns N' Roses
November Rain | Guns N' Roses
Paradise City | Guns N' Roses
Patience | Guns N' Roses
Sweet Child O' Mine | Guns N' Roses
You Could Be Mine | Guns N' Roses
Crosstown Traffic | The Jimi Hendrix Experience
Fire | The Jimi Hendrix Experience
Foxy Lady {Song incorrectly titled Foxey Lady} | The Jimi Hendrix Experience
Hey Joe | The Jimi Hendrix Experience
Little Wing | The Jimi Hendrix Experience
Purple Haze | The Jimi Hendrix Experience
Voodoo Child (Slight Return) | The Jimi Hendrix Experience
The Wind Cries Mary | The Jimi Hendrix Experience
Calling Dr. Love | KISS
Detroit Rock City | KISS
Heaven's On Fire | KISS
I Was Made For Lovin' You | KISS
Lick It Up | KISS
Love Gun | KISS
Strutter | KISS
Gimme Three Steps | Lynyrd Skynyrd
Crazy Train | Ozzy Osbourne
Bohemian Rhapsody | Queen
Don't Stop Me Now | Queen
Fat Bottomed Girls | Queen
Killer Queen | Queen
Under Pressure | Queen
We Are The Champions | Queen
We Will Rock You | Queen
You're My Best Friend | Queen
Angie | The Rolling Stones
Brown Sugar | The Rolling Stones
Gimme Shelter | The Rolling Stones
(I Can't Get No) Satisfaction | The Rolling Stones
Start Me Up | The Rolling Stones
Wild Horses | The Rolling Stones
Limelight | Rush
Tom Sawyer | Rush
Evil Ways | Santana
Into The Night | Santana
Maria Maria | Santana
Oye Como Va | Santana
Put Your Lights On | Santana
The Game Of Love (Main Radio Mix) | Santana
While My Guitar Gently Weeps | Santana
No One Like You | The Scorpions
Wind Of Change | The Scorpions
The Boys Are Back In Town | Thin Lizzy
Emerald | Thin Lizzy
Jailbreak | Thin Lizzy
I Wanna Rock | Twisted Sister
The Kids Are Back | Twisted Sister
We're Not Gonna Take It | Twisted Sister
Eruption | Van Halen
Jump | Van Halen
Panama | Van Halen
Unchained | Van Halen
You Really Got Me | Van Halen
Here I Go Again | Whitesnake
Is This Love | Whitesnake
Baba O'Riley | The Who
Behind Blue Eyes | The Who
Eminence Front | The Who
I Can't Explain | The Who
My Generation | The Who
Pinball Wizard | The Who
Won't Get Fooled Again | The Who
Gimme All Your Lovin' | ZZ Top
Legs | ZZ Top
Rough Boy | ZZ Top
Sharp Dressed Man | ZZ Top
