Poison | Alice Cooper
School's Out | Alice Cooper
The House Of The Rising Sun | The Animals
The Weight | The Band
Changes | Black Sabbath
Iron Man | Black Sabbath
Paranoid | Black Sabbath
Call Me | Blondie
The Twist | Chubby Checker
Sunshine Of Your Love | Cream
White Room | Cream
Bad Moon Rising | Creedence Clearwater Revival
Holy Diver | Dio
Sultans Of Swing | Dire Straits
Break On Through (To The Other Side) | The Doors
Light My Fire | The Doors
Goodbye Yellow Brick Road | Elton John
Hound Dog | Elvis Presley
In The Ghetto | Elvis Presley
Jailhouse Rock | Elvis Presley
Suspicious Minds | Elvis Presley
Cocaine | Eric Clapton
I Shot The Sheriff | Eric Clapton
Layla | Eric Clapton
Stay With Me | Faces
All Right Now | Free
Basket Case | Green Day
November Rain | Guns N' Roses
Patience | Guns N' Roses
Sweet Child O' Mine | Guns N' Roses
Barracuda | Heart
These Dreams | Heart
The Passenger | Iggy Pop
It's Time | Imagine Dragons
Great Balls Of Fire | Jerry Lee Lewis
Love Will Tear Us Apart | Joy Division
The Gambler | Kenny Rogers
Free Bird | Lynyrd Skynyrd
Sweet Home Alabama | Lynyrd Skynyrd
Hangar 18 | Megadeth
Supermassive Black Hole | Muse
About A Girl | Nirvana
All Apologies | Nirvana
In Bloom | Nirvana
Smells Like Teen Spirit | Nirvana
Wonderwall | Oasis
 Let It Be | Paul McCartney
Alive | Pearl Jam
When A Man Loves A Woman | Percy Sledge
Downtown | Petula Clark
Bohemian Rhapsody | Queen
Under Pressure | David Bowie
Losing My Religion | R.E.M.
Maggie May | Rod Stewart
Angie | The Rolling Stones
Brown Sugar | The Rolling Stones
Gimme Shelter | The Rolling Stones
Start Me Up | The Rolling Stones
Caravan | Rush
Fly By Night | Rush
Limelight | Rush
Tom Sawyer | Rush
Working Man | Rush
No One Like You | Scorpions
Anarchy In The U.K. | Sex Pistols
Bridge Over Troubled Water | Simon &amp; Garfunkel
Psychosocial | Slipknot
Higher Ground | Stevie Wonder
Renegade | Styx
Eye Of The Tiger | Survivor
Ballroom Blitz | Sweet
Pinball Wizard | The Who
La Grange</span> | ZZ Top
