Fallin' |  </s
Loser | Beck
Halo | BeyoncA©
Call Me | Blondie
Livin' On A Prayer | Bon Jovi
Wanted Dead Or Alive | Bon Jovi
(Everything I Do) I Do It For You | Bryan Adams
The Distance | Cake
Call Me Maybe | Carly Rae Jepsen
Don't Wake Me Up | Chris Brown
Bad Moon Rising | Creedence Clearwater Revival
Lovesong | The Cure
Time After Time | Cyndi Lauper
You Light Up My Life | Debby Boone
Over | Drake
Love The Way You Lie | Eminem
Hero | Enrique Iglesias
The Final Countdown | Europe
I Cry | Flo Rida
Whistle | Flo Rida
Wild Ones | Flo Rida
I Want To Know What Love Is | Foreigner
Somebody That I Used To Know | Gotye
November Rain | Guns N' Roses
Barracuda | Heart
Your Body Is A Wonderland | John Mayer
Don't Stop Believin' | Journey
Open Arms | Journey
As Long As You Love Me | Justin Bieber
Wide Awake | Katy Perry
Drank In My Cup | Kirko Bangz
Bleeding Love | Leona Lewis
John | Lil Wayne
Party Rock Anthem | LMFAO
Sweet Home Alabama | Lynyrd Skynyrd
One More Night | Maroon 5
Payphone | Wiz Khalifa
You Got It (The Right Stuff) | New Kids On The Block
Starships | Nicki Minaj
Fly | Rihanna
Smells Like Teen Spirit | Nirvana
Don't Speak | No Doubt
Wonderwall | Oasis
What Makes You Beautiful | One Direction
Hit Me With Your Best Shot | Pat Benetar
Alive | Pearl Jam
Give Me Everything | Pitbull
Roxanne | The Police
Creep | Radiohead
Where Have You Been | Rihanna
You're Still The One | Shania Twain
All Star | Smash Mouth
Eye Of The Tiger | Survivor
Love Story |  </s
Heart Attack | Trey Songz
Rack City | Tyga
With Or Without You | U2
Lemme See | Usher
Greatest Love Of All | Whitney Houston
I Will Always Love You | Whitney Houston
Black And Yellow | Wiz Khalifa
