Hold On | Alabama Shakes
My Heart Is On Fire | Asta
Silhouettes | Avicii
Clique | Kanye West
Little Black Submarines | The Black Keys
Love This | Cosmo Jarvis
Holdin On | Flume
Lost | Frank Ocean
45 | The Gaslight Anthem
Oblivion | Grimes
Heard It All | Illy
I'm Shakin' | Jack White
Swimming Pools (Drank) | Kendrick Lamar
Internet Friends | Knife Party
Born To Die | Lana Del Rey
Summertime Sadness | Lana Del Rey
Spiritus | Lisa Mitchell
Ho Hey | The Lumineers
Bad Girls | M.I.A.
Madness | Muse
Little Talks | Of Monsters &amp; Men
Disparate Youth | Santigold
 Simple Song | The Shins
 Dance Bear | Snakadaktal
Elephant | Tame Impala
Feels Like We Only Go Backwards | Tame Impala
Sleep Alone | Two Door Cinema Club
