!Vitamin String Quartet
Hells Bells| ACDC
Shoot to thrill| ACDC
What do you do for money| ACDC
give the dog a bone| ACDC
let me put my love into you| ACDC
back in balck| ACDC
You shook me all night long| ACDC
have a drink on me| ACDC
shake a leg| ACDC
rock n roll aint noise pollution| ACDC
Dream on| Aerosmith
Draw The Line| Aerosmith
Rag Doll| Aerosmith
Janies Got A Gun| Aerosmith
Last Child| Aerosmith
I Dont want to miss a thing| Aerosmith
Toys in the attic| Aerosmith
Angel| Aerosmith
Seasons of wither| Aerosmith
Come Together| The Beatles
Eleanor Rigby| The Beatles
Hello Goodbye| The Beatles
(Just Like) Starting Over| The Beatles
Penny Lane| The Beatles
Band on the Run| The Beatles
She Loves You| The Beatles
Beautiful Boy (Darling Boy)| The Beatles
All You Need Is Love| The Beatles
Hey Jude| The Beatles
A Hard Day's Night| The Beatles
Imagine| The Beatles
Let It Be| The Beatles
Can't Buy Me Love| The Beatles
Ticket to Ride| The Beatles
Instant Karma| The Beatles
Something| The Beatles
Yesterday| The Beatles
Nowhere Man| The Beatles
Mind Games| The Beatles
Uptown Girl | Billy Joel| Billy Joel
All Along the Watchtower| Bob Dylan
Blowin' in the Wind| Bob Dylan
Lay, Lady, Lay| Bob Dylan
Hurricane| Bob Dylan
I Shall Be Released| Bob Dylan
Like A Rolling Stone| Bob Dylan
Knockin' On Heaven's Door| Bob Dylan
Tangled Up In Blue| Bob Dylan
Isis| Bob Dylan
Oh, Sister| Bob Dylan
Yellow| Coldplay
In My Place| Coldplay
God Put a Smile on Your Faced| Coldplay
Clocks| Coldplay
Shiver| Coldplay
Trouble - (with Section)| Coldplay
Everything's Not Lost| Coldplay
Don't Panic| Coldplay
Daylight| Coldplay
Windows| Coldplay
Bring Me to Life| Evanescence
Times Like These| Foo Fighters
My Hero| Foo Fighters
Monkey Wrench| Foo Fighters
Learn to Fly| Foo Fighters
Everlong| Foo Fighters
Best of You| Foo Fighters
Anytime| Foo Fighters
American Idiot| Greenday
Jesus Of Suburbia| Greenday
Holiday| Greenday
Boulevard of Broken Dreams| Greenday
Are We The Waiting| Greenday
St. Jimmy| Greenday
Give Me Novacainse| Greenday
Shes a rebel| Greenday
Extraordinary Girl| Greenday
Letterbomb| Greenday
Homecoming| Greenday
Wake Me Up When September Ends| Greenday
Whatsername| Greenday
Welcome to the jungle| Guns n Roses
sweet child o mine| Guns n Roses
knocking on heavens door| Guns n Roses
paradise city| Guns n Roses
Dont cry| Guns n Roses
November rain| Guns n Roses
Live and let die| Guns n Roses
Mr Brownstone| Guns n Roses
Yesterdays| Guns n Roses
Patience| Guns n Roses
14 Years| Guns n Roses
Civil War| Guns n Roses
Run to the hills| Iron Maiden
Number of the beast| Iron Maiden
Hallowed be thy name| Iron Maiden
Powerslave| Iron Maiden
Aces high| Iron Maiden
the trooper| Iron Maiden
Stone Free| Jimi Hendrix
Purple Haze| Jimi Hendrix
Mainc Depression| Jimi Hendrix
Third Stone From the Sun| Jimi Hendrix
Bold As Love| Jimi Hendrix
Foxey Lady| Jimi Hendrix
Hey Joe| Jimi Hendrix
Up from the skies| Jimi Hendrix
Little Wing| Jimi Hendrix
The wind cries mary| Jimi Hendrix
Castles made of sand| Jimi Hendrix
Blue Sunrise| Jimi Hendrix
Poker Face| Lady Gaga
Paparazzi| Lady Gaga
Alejandro| Lady Gaga
Bad Romance| Lady Gaga
Just Dance| Lady Gaga
Telephone| Lady Gaga
Dance in the Dark| Lady Gaga
Dazed and confused| Led Zeppelin
Stairway to heaven| Led Zeppelin
Going to california| Led Zeppelin
No Quarter| Led Zeppelin
The Immigrant Song| Led Zeppelin
The Ocean| Led Zeppelin
Moby Dick| Led Zeppelin
Whole Lotta Love| Led Zeppelin
Enter Sandman| Metallica
Ride the lightning| Metallica
One| Metallica
Master of pupperts| Metallica
Unforgiven| Metallica
Whereever i may roam| Metallica
Through the never| Metallica
Fade to black| Metallica
Nothing else matters| Metallica
Stockholm Syndrome| Muse
Map of Your Head| Muse
Time is Running Out| Muse
Muscle Museum| Muse
In Your World| Muse
Showbiz| Muse
The Small Print| Muse
Sunburn| Muse
New Born| Muse
Bliss| Muse
Sing for Absolution| Muse
Saving Grace| Muse
Rape Me| Nirvana
Come As You Are| Nirvana
Smells Like Teen Spirit| Nirvana
All Apologies| Nirvana
On A Plain| Nirvana
Polly| Nirvana
Heart Shaped Box| Nirvana
Penny Royal Tea| Nirvana
Something In The Way| Nirvana
Misery Business| Paramore
Crushcrushcrush| Paramore
Pressure| Paramore
Emergency| Paramore
Hallelujah| Paramore
That's What You Get| Paramore
Fast Fall| Paramore
alive| Pearl Jam
better man| Pearl Jam
even flow| Pearl Jam
jeremy| Pearl Jam
Under the Bridge| Red Hot Chilli Peppers
Californication| Red Hot Chilli Peppers
Other Side| Red Hot Chilli Peppers
Fortune Faded| Red Hot Chilli Peppers
Higher Ground| Red Hot Chilli Peppers
Breaking the Girl| Red Hot Chilli Peppers
Scar Tissue| Red Hot Chilli Peppers
Soul to Squeeze| Red Hot Chilli Peppers
By the Way| Red Hot Chilli Peppers
Aeroplane| Red Hot Chilli Peppers
Can't Stop| Red Hot Chilli Peppers
Suck My Kiss| Red Hot Chilli Peppers
The Spirit of Radio| Rush
Red Barchetta| Rush
Yyz| Rush
A Passage to Bangkok| Rush
Closer to the Heart| Rush
Beneath, Between, & Behind| Rush
Jacob's Ladder| Rush
Broon's Bane| Rush
The Trees| Rush
Xanadu| Rush
Freewill| Rush
Tom Sawyer| Rush
Lullaby| The Cure
Pictures of You| The Cure
Boys Don't Cry| The Cure
Love Song| The Cure
Hot Hot Hot| The Cure
The Lovecats| The Cure
Bloodflowers| The Cure
Maybe Someday| The Cure
Just Like Heaven| The Cure
Zazen| The Cure
black shuck| The Darkness
get your hands off of my woman| The Darkness
growing on me| The Darkness
i believe in a thing called love| The Darkness
love is only a feeling| The Darkness
givin up| The Darkness
stuck in a rut| The Darkness
friday night| The Darkness
love on the rocks| The Darkness
holding on my own| The Darkness
makin out| The Darkness
